provincia_iso,fecha,num_casos,provincia,tmed,wind,prec,alt
TO,2020-02-16,0,toledo,10.4,2.8,0.0,690
TO,2020-02-17,0,toledo,8.1,2.2,0.0,690
TO,2020-02-18,0,toledo,9.2,2.2,0.0,690
TO,2020-02-19,0,toledo,8.5,1.7,0.0,690
TO,2020-02-20,0,toledo,7.0,1.9,0.0,690
TO,2020-02-21,0,toledo,8.4,3.3,0.0,690
TO,2020-02-22,0,toledo,9.3,2.2,0.0,690
TO,2020-02-23,0,toledo,9.9,1.9,0.0,690
TO,2020-02-24,0,toledo,10.5,1.9,0.0,690
TO,2020-02-25,0,toledo,11.4,4.2,0.0,690
TO,2020-02-26,0,toledo,9.0,3.3,0.0,690
TO,2020-02-27,0,toledo,9.2,3.1,0.0,690
TO,2020-02-28,1,toledo,10.4,2.2,0.0,690
TO,2020-02-29,3,toledo,10.3,6.4,0.0,690
TO,2020-03-01,17,toledo,11.8,6.1,0.4,690
TO,2020-03-02,14,toledo,9.3,10.3,0.0,690
TO,2020-03-04,15,toledo,13.0,5.0,0.0,690
TO,2020-03-05,17,toledo,11.4,6.9,0.0,690
TO,2020-03-06,22,toledo,8.2,6.7,0.0,690
TO,2020-03-07,34,toledo,8.4,4.2,0.0,690
TO,2020-03-08,39,toledo,9.0,3.3,0.0,690
TO,2020-03-09,44,toledo,11.0,3.9,0.0,690
TO,2020-03-10,74,toledo,12.9,1.9,0.0,690
TO,2020-03-11,68,toledo,16.4,1.4,0.0,690
TO,2020-03-12,91,toledo,16.8,2.5,0.0,690
TO,2020-03-13,123,toledo,15.7,2.2,0.0,690
TO,2020-03-14,107,toledo,13.5,1.7,0.0,690
TO,2020-03-16,160,toledo,6.4,2.5,6.4,690
TO,2020-03-18,169,toledo,10.5,5.6,0.0,690
TO,2020-03-19,174,toledo,10.4,6.4,0.0,690
TO,2020-03-20,203,toledo,11.6,6.4,0.0,690
TO,2020-03-21,141,toledo,7.2,3.9,0.4,690
TO,2020-03-22,142,toledo,7.7,2.8,5.4,690
TO,2020-03-23,175,toledo,10.6,4.7,0.2,690
TO,2020-03-24,145,toledo,9.4,8.1,0.2,690
TO,2020-03-25,132,toledo,8.6,1.7,0.0,690
TO,2020-03-26,141,toledo,10.2,3.6,0.0,690
TO,2020-03-27,124,toledo,4.2,6.7,2.2,690
TO,2020-03-28,136,toledo,7.0,2.8,0.0,690
TO,2020-03-29,106,toledo,9.7,1.4,1.2,690
TO,2020-03-30,112,toledo,6.8,4.2,9.8,690
TO,2020-04-01,87,toledo,9.9,3.3,0.0,690
TO,2020-04-02,80,toledo,9.0,3.1,0.4,690
TO,2020-04-03,71,toledo,10.0,1.7,0.2,690
TO,2020-04-05,63,toledo,14.2,3.9,0.2,690
TO,2020-04-07,80,toledo,15.0,3.1,6.0,690
TO,2020-04-08,44,toledo,14.2,2.5,0.0,690
TO,2020-04-09,48,toledo,12.4,1.7,8.8,690
TO,2020-04-10,49,toledo,13.5,2.5,6.4,690
TO,2020-04-11,28,toledo,13.0,1.9,0.0,690
TO,2020-04-12,48,toledo,12.7,2.8,4.2,690
TO,2020-04-13,49,toledo,11.7,2.5,0.0,690
TO,2020-04-15,40,toledo,12.4,2.8,2.2,690
TO,2020-04-16,38,toledo,14.8,5.6,0.0,690
TO,2020-04-17,14,toledo,14.4,3.1,0.0,690
TO,2020-04-18,17,toledo,15.3,1.9,5.2,690
TO,2020-04-19,24,toledo,13.2,3.1,0.0,690
TO,2020-04-20,61,toledo,11.1,5.3,0.4,690
TO,2020-04-21,14,toledo,11.6,4.2,0.4,690
TO,2020-04-22,27,toledo,13.6,1.4,0.0,690
TO,2020-04-23,24,toledo,14.0,2.8,1.4,690
TO,2020-04-24,13,toledo,14.8,3.6,0.0,690
TO,2020-04-25,13,toledo,14.4,3.1,20.4,690
TO,2020-04-26,13,toledo,13.8,2.2,0.4,690
TO,2020-04-28,9,toledo,11.8,4.4,0.0,690
TO,2020-04-29,16,toledo,12.4,3.6,1.6,690
TO,2020-04-30,14,toledo,14.4,4.4,0.0,690
TO,2020-05-01,28,toledo,16.2,4.2,0.0,690
TO,2020-05-02,13,toledo,18.8,2.2,0.0,690
TO,2020-05-03,6,toledo,20.6,2.5,0.0,690
TO,2020-05-04,23,toledo,23.2,4.4,0.0,690
TO,2020-05-05,9,toledo,18.2,2.5,0.0,690
TO,2020-05-06,20,toledo,17.4,1.1,0.0,690
TO,2020-05-07,22,toledo,20.0,6.1,0.0,690
TO,2020-05-08,11,toledo,20.2,3.1,0.0,690
TO,2020-05-09,7,toledo,18.7,5.6,0.2,690
TO,2020-05-10,13,toledo,14.0,5.6,2.4,690
TO,2020-05-11,34,toledo,15.3,4.7,1.8,690
TO,2020-05-12,7,toledo,11.4,1.7,8.8,690
TO,2020-05-13,11,toledo,14.0,3.1,5.8,690
TO,2020-05-14,11,toledo,12.0,3.3,0.2,690
TO,2020-05-15,12,toledo,12.4,2.8,0.6,690
TO,2020-05-16,8,toledo,13.2,3.1,0.0,690
TO,2020-05-17,2,toledo,15.5,2.8,0.0,690
TO,2020-05-18,19,toledo,17.6,2.5,0.0,690
TO,2020-05-19,13,toledo,19.3,2.5,0.0,690
